Trade Date,Strike,Expiry Date,Last Trade Price,Bid Price,Ask Price,Days to Expiry,TTM,Price,r,IV,F,Moneyness
2023-07-03,260,2023-07-21,148.530000,148.300000,148.800000,18 days,0.049315,148.550000,0.052700,1.032205,408.250267,-0.451199
2023-07-03,270,2023-07-21,138.560000,138.300000,138.800000,18 days,0.049315,138.550000,0.052700,0.950304,408.250267,-0.413458
2023-07-03,280,2023-07-21,128.590000,128.300000,128.900000,18 days,0.049315,128.600000,0.052700,0.882333,408.250267,-0.377091
2023-07-03,290,2023-07-21,118.620000,118.400000,118.900000,18 days,0.049315,118.650000,0.052700,0.815701,408.250267,-0.341999
2023-07-03,300,2023-07-21,108.640000,108.400000,108.900000,18 days,0.049315,108.650000,0.052700,0.741077,408.250267,-0.308098
2023-07-03,310,2023-07-21,98.010000,97.740000,98.340000,18 days,0.049315,98.040000,0.052700,0.466561,408.250267,-0.275308
2023-07-03,320,2023-07-21,88.110000,87.910000,88.410000,18 days,0.049315,88.160000,0.052700,0.476487,408.250267,-0.243559
2023-07-03,330,2023-07-21,78.060000,77.850000,78.340000,18 days,0.049315,78.095000,0.052700,0.372054,408.250267,-0.212788
2023-07-03,260,2023-08-18,148.620000,147.910000,149.000000,46 days,0.126027,148.455000,0.052700,0.435805,409.420094,-0.454060
2023-07-03,270,2023-08-18,138.760000,138.170000,139.170000,46 days,0.126027,138.670000,0.052700,0.495054,409.420094,-0.416320
2023-07-03,280,2023-08-18,128.680000,128.120000,129.110000,46 days,0.126027,128.615000,0.052700,0.397633,409.420094,-0.379952
2023-07-03,290,2023-08-18,118.820000,118.210000,119.200000,46 days,0.126027,118.705000,0.052700,0.378888,409.420094,-0.344861
2023-07-03,300,2023-08-18,108.790000,108.310000,109.300000,46 days,0.126027,108.805000,0.052700,0.359971,409.420094,-0.310959
2023-07-03,310,2023-08-18,98.960000,98.310000,99.500000,46 days,0.126027,98.905000,0.052700,0.336776,409.420094,-0.278169
2023-07-03,320,2023-08-18,88.940000,88.360000,89.540000,46 days,0.126027,88.950000,0.052700,0.296255,409.420094,-0.246421
2023-07-03,330,2023-08-18,79.170000,78.770000,79.860000,46 days,0.126027,79.315000,0.052700,0.315255,409.420094,-0.215649
2023-07-03,260,2023-09-15,149.190000,148.300000,149.980000,74 days,0.202740,149.140000,0.054000,0.388688,410.701505,-0.457185
2023-07-03,270,2023-09-15,139.170000,138.560000,139.850000,74 days,0.202740,139.205000,0.054000,0.330972,410.701505,-0.419445
2023-07-03,280,2023-09-15,129.390000,128.880000,130.060000,74 days,0.202740,129.470000,0.054000,0.366939,410.701505,-0.383077
2023-07-03,290,2023-09-15,122.800000,122.010000,123.420000,74 days,0.202740,122.715000,0.054000,0.562078,410.701505,-0.347986
2023-07-03,300,2023-09-15,112.790000,112.280000,113.490000,74 days,0.202740,112.885000,0.054000,0.520729,410.701505,-0.314084
2023-07-03,310,2023-09-15,102.970000,102.510000,103.730000,74 days,0.202740,103.120000,0.054000,0.482480,410.701505,-0.281294
2023-07-03,320,2023-09-15,93.000000,92.570000,93.790000,74 days,0.202740,93.180000,0.054000,0.438462,410.701505,-0.249546
2023-07-03,330,2023-09-15,81.850000,81.600000,82.700000,74 days,0.202740,82.150000,0.054000,0.356808,410.701505,-0.218774
2023-07-03,260,2023-10-20,148.530000,148.450000,150.230000,109 days,0.298630,149.340000,0.054000,0.399707,412.224480,-0.460886
2023-07-03,270,2023-10-20,143.220000,142.680000,143.990000,109 days,0.298630,143.335000,0.054000,0.544550,412.224480,-0.423146
2023-07-03,280,2023-10-20,133.880000,132.850000,134.060000,109 days,0.298630,133.455000,0.054000,0.504883,412.224480,-0.386778
2023-07-03,290,2023-10-20,124.230000,123.120000,124.440000,109 days,0.298630,123.780000,0.054000,0.473560,412.224480,-0.351687
2023-07-03,300,2023-10-20,114.300000,113.270000,114.590000,109 days,0.298630,113.930000,0.054000,0.436839,412.224480,-0.317786
2023-07-03,310,2023-10-20,104.300000,103.330000,104.650000,109 days,0.298630,103.990000,0.054000,0.398233,412.224480,-0.284996
2023-07-03,320,2023-10-20,93.000000,92.200000,93.400000,109 days,0.298630,92.800000,0.054000,0.319905,412.224480,-0.253247
