Trade Date,Strike,Expiry Date,Call/Put,Last Trade Price,Bid Price,Ask Price,Bid Implied Volatility,Ask Implied Volatility,Open Interest,Volume,Delta,Gamma,Vega,Theta,Rho
2023-07-03,180,2023-07-21,c,231.36,230.74,233.27,0,2.0808,0,0,1,0,0,-0.0268,0.0892
2023-07-03,185,2023-07-21,c,223.33,222.3,224,0,1.7034,0,0,1,0,0,-0.0276,0.0917
2023-07-03,190,2023-07-21,c,221.25,219.39,222.93,0,1.9136,0,0,1,0,0,-0.0283,0.0941
2023-07-03,195,2023-07-21,c,211.94,211.08,212.77,0,1.6569,0,0,1,0,0,-0.0291,0.0966
2023-07-03,200,2023-07-21,c,211.5,210.41,212.24,0,1.5689,0,0,1,0,0,-0.0298,0.0991
2023-07-03,205,2023-07-21,c,202.03,200.26,203.63,0,1.7351,0,0,1,0,0,-0.0306,0.1016
2023-07-03,210,2023-07-21,c,201.38,200.06,202.09,0,1.4634,0,0,1,0,0,-0.0313,0.1041
2023-07-03,215,2023-07-21,c,192.12,191.12,192.91,0,1.443,0,0,1,0,0,-0.0321,0.1065
2023-07-03,220,2023-07-21,c,188.43,187.2,190,0,1.5697,0,0,1,0,0,-0.0328,0.109
2023-07-03,225,2023-07-21,c,181.91,181.08,182.76,0,1.3692,0,0,1,0,0,-0.0336,0.1115
2023-07-03,230,2023-07-21,c,178.45,176.6,180.3,0,1.5183,0,0,1,0,0,-0.0343,0.114
2023-07-03,235,2023-07-21,c,172.02,171.36,172.75,0,1.2488,0,0,1,0,0,-0.035,0.1164
2023-07-03,240,2023-07-21,c,168.48,167.1,169.3,0,1.2277,0,0,1,0,0,-0.0358,0.1189
2023-07-03,245,2023-07-21,c,161.86,161.07,162.85,0,1.2276,0,0,1,0,0,-0.0365,0.1214
2023-07-03,250,2023-07-21,c,158.51,157.1,159.7,0,1.2218,0,0,1,0,0,-0.0373,0.1239
2023-07-03,255,2023-07-21,c,151.98,151.17,152.96,0,1.138,0,0,1,0,0,-0.038,0.1264
2023-07-03,260,2023-07-21,c,148.53,148.3,148.8,0,0.9014,0,0,1,0,0,-0.0388,0.1288
2023-07-03,265,2023-07-21,c,141.88,141.63,142.12,0,0.8613,0,0,1,0,0,-0.0395,0.1313
2023-07-03,270,2023-07-21,c,138.56,138.3,138.8,0,0.822,0,0,1,0,0,-0.0403,0.1338
2023-07-03,275,2023-07-21,c,132.01,131.74,132.24,0,0.7834,0,0,1,0,0,-0.041,0.1363
2023-07-03,280,2023-07-21,c,128.59,128.3,128.9,0,0.7846,1,0,1,0,0,-0.0418,0.1387
2023-07-03,285,2023-07-21,c,125.25,124.94,125.55,0,0.7474,0,0,1,0,0,-0.0425,0.1412
2023-07-03,290,2023-07-21,c,118.62,118.4,118.9,0,0.7108,0,0,1,0,0,-0.0433,0.1437
2023-07-03,295,2023-07-21,c,115.15,114.81,115.42,0,0.6748,0,0,1,0,0,-0.044,0.1462
2023-07-03,300,2023-07-21,c,108.64,108.4,108.9,0,0.6395,3,0,1,0,0,-0.0447,0.1486
2023-07-03,305,2023-07-21,c,105.04,104.68,105.39,0,0.6356,0,0,1,0,0,-0.0455,0.1511
